행정구역분류코드,행정구역분류대분류번호,행정구역분류대분류명,행정구역분류중분류번호,행정구역분류중분류명
00000,00,전체,00,전체
11000,11,서울특별시,00,전체
11010,11,서울특별시,10,종로구
11020,11,서울특별시,20,중구
11030,11,서울특별시,30,용산구
11040,11,서울특별시,40,성동구
11050,11,서울특별시,50,광진구
11060,11,서울특별시,60,동대문구
11070,11,서울특별시,70,중랑구
11080,11,서울특별시,80,성북구
11090,11,서울특별시,90,강북구
11100,11,서울특별시,100,도봉구
11110,11,서울특별시,110,노원구
11120,11,서울특별시,120,은평구
11130,11,서울특별시,130,서대문구
11140,11,서울특별시,140,마포구
11150,11,서울특별시,150,양천구
11160,11,서울특별시,160,강서구
11170,11,서울특별시,170,구로구
11180,11,서울특별시,180,금천구
11190,11,서울특별시,190,영등포구
11200,11,서울특별시,200,동작구
11210,11,서울특별시,210,관악구
11220,11,서울특별시,220,서초구
11230,11,서울특별시,230,강남구
11240,11,서울특별시,240,송파구
11250,11,서울특별시,250,강동구
21000,21,부산광역시,00,전체
21010,21,부산광역시,10,중구
21020,21,부산광역시,20,서구
21030,21,부산광역시,30,동구
21040,21,부산광역시,40,영도구
21050,21,부산광역시,50,부산진구
21060,21,부산광역시,60,동래구
21070,21,부산광역시,70,남구
21080,21,부산광역시,80,북구
21090,21,부산광역시,90,해운대구
21100,21,부산광역시,100,사하구
21110,21,부산광역시,110,금정구
21120,21,부산광역시,120,강서구
21130,21,부산광역시,130,연제구
21140,21,부산광역시,140,수영구
21150,21,부산광역시,150,사상구
21310,21,부산광역시,310,기장군
22000,22,대구광역시,00,전체
22010,22,대구광역시,10,중구
22020,22,대구광역시,20,동구
22030,22,대구광역시,30,서구
22040,22,대구광역시,40,남구
22050,22,대구광역시,50,북구
22060,22,대구광역시,60,수성구
22070,22,대구광역시,70,달서구
22310,22,대구광역시,310,달성군
23000,23,인천광역시,00,전체
23010,23,인천광역시,10,중구
23020,23,인천광역시,20,동구
23030,23,인천광역시,30,미추홀구
23040,23,인천광역시,40,연수구
23050,23,인천광역시,50,남동구
23060,23,인천광역시,60,부평구
23070,23,인천광역시,70,계양구
23080,23,인천광역시,80,서구
23310,23,인천광역시,310,강화군
23320,23,인천광역시,320,옹진군
24000,24,광주광역시,00,전체
24010,24,광주광역시,10,동구
24020,24,광주광역시,20,서구
24030,24,광주광역시,30,남구
24040,24,광주광역시,40,북구
24050,24,광주광역시,50,광산구
25000,25,대전광역시,00,전체
25010,25,대전광역시,10,동구
25020,25,대전광역시,20,중구
25030,25,대전광역시,30,서구
25040,25,대전광역시,40,유성구
25050,25,대전광역시,50,대덕구
26000,26,울산광역시,00,전체
26010,26,울산광역시,10,중구
26020,26,울산광역시,20,남구
26030,26,울산광역시,30,동구
26040,26,울산광역시,40,북구
26310,26,울산광역시,310,울주군
29000,29,세종특별자치시,00,전체
29010,29,세종특별자치시,10,세종시
31000,31,경기도,00,전체
31010,31,경기도,10,수원시
31020,31,경기도,20,성남시
31030,31,경기도,30,의정부시
31040,31,경기도,40,안양시
31050,31,경기도,50,부천시
31060,31,경기도,60,광명시
31070,31,경기도,70,평택시
31080,31,경기도,80,동두천시
31090,31,경기도,90,안산시
31100,31,경기도,100,고양시
31110,31,경기도,110,과천시
31120,31,경기도,120,구리시
31130,31,경기도,130,남양주시
31140,31,경기도,140,오산시
31150,31,경기도,150,시흥시
31160,31,경기도,160,군포시
31170,31,경기도,170,의왕시
31180,31,경기도,180,하남시
31190,31,경기도,190,용인시
31200,31,경기도,200,파주시
31210,31,경기도,210,이천시
31220,31,경기도,220,안성시
31230,31,경기도,230,김포시
31240,31,경기도,240,화성시
31250,31,경기도,250,광주시
31260,31,경기도,260,양주시
31270,31,경기도,270,포천시
31280,31,경기도,280,여주시
31350,31,경기도,350,연천군
31370,31,경기도,370,가평군
31380,31,경기도,380,양평군
32000,32,강원도,00,전체
32010,32,강원도,10,춘천시
32020,32,강원도,20,원주시
32030,32,강원도,30,강릉시
32040,32,강원도,40,동해시
32050,32,강원도,50,태백시
32060,32,강원도,60,속초시
32070,32,강원도,70,삼척시
32310,32,강원도,310,홍천군
32320,32,강원도,320,횡성군
32330,32,강원도,330,영월군
32340,32,강원도,340,평창군
32350,32,강원도,350,정선군
32360,32,강원도,360,철원군
32370,32,강원도,370,화천군
32380,32,강원도,380,양구군
32390,32,강원도,390,인제군
32400,32,강원도,400,고성군
32410,32,강원도,410,양양군
33000,33,충청북도,00,전체
33020,33,충청북도,20,충주시
33030,33,충청북도,30,제천시
33040,33,충청북도,40,청주시
33320,33,충청북도,320,보은군
33330,33,충청북도,330,옥천군
33340,33,충청북도,340,영동군
33350,33,충청북도,350,진천군
33360,33,충청북도,360,괴산군
33370,33,충청북도,370,음성군
33380,33,충청북도,380,단양군
33390,33,충청북도,390,증평군
34000,34,충청남도,00,전체
34010,34,충청남도,10,천안시
34020,34,충청남도,20,공주시
34030,34,충청남도,30,보령시
34040,34,충청남도,40,아산시
34050,34,충청남도,50,서산시
34060,34,충청남도,60,논산시
34070,34,충청남도,70,계룡시
34080,34,충청남도,80,당진시
34310,34,충청남도,310,금산군
34330,34,충청남도,330,부여군
34340,34,충청남도,340,서천군
34350,34,충청남도,350,청양군
34360,34,충청남도,360,홍성군
34370,34,충청남도,370,예산군
34380,34,충청남도,380,태안군
35000,35,전라북도,00,전체
35010,35,전라북도,10,전주시
35020,35,전라북도,20,군산시
35030,35,전라북도,30,익산시
35040,35,전라북도,40,정읍시
35050,35,전라북도,50,남원시
35060,35,전라북도,60,김제시
35310,35,전라북도,310,완주군
35320,35,전라북도,320,진안군
35330,35,전라북도,330,무주군
35340,35,전라북도,340,장수군
35350,35,전라북도,350,임실군
35360,35,전라북도,360,순창군
35370,35,전라북도,370,고창군
35380,35,전라북도,380,부안군
36000,36,전라남도,00,전체
36010,36,전라남도,10,목포시
36020,36,전라남도,20,여수시
36030,36,전라남도,30,순천시
36040,36,전라남도,40,나주시
36060,36,전라남도,60,광양시
36310,36,전라남도,310,담양군
36320,36,전라남도,320,곡성군
36330,36,전라남도,330,구례군
36350,36,전라남도,350,고흥군
36360,36,전라남도,360,보성군
36370,36,전라남도,370,화순군
36380,36,전라남도,380,장흥군
36390,36,전라남도,390,강진군
36400,36,전라남도,400,해남군
36410,36,전라남도,410,영암군
36420,36,전라남도,420,무안군
36430,36,전라남도,430,함평군
36440,36,전라남도,440,영광군
36450,36,전라남도,450,장성군
36460,36,전라남도,460,완도군
36470,36,전라남도,470,진도군
36480,36,전라남도,480,신안군
37000,37,경상북도,00,전체
37010,37,경상북도,10,포항시
37020,37,경상북도,20,경주시
37030,37,경상북도,30,김천시
37040,37,경상북도,40,안동시
37050,37,경상북도,50,구미시
37060,37,경상북도,60,영주시
37070,37,경상북도,70,영천시
37080,37,경상북도,80,상주시
37090,37,경상북도,90,문경시
37100,37,경상북도,100,경산시
37310,37,경상북도,310,군위군
37320,37,경상북도,320,의성군
37330,37,경상북도,330,청송군
37340,37,경상북도,340,영양군
37350,37,경상북도,350,영덕군
37360,37,경상북도,360,청도군
37370,37,경상북도,370,고령군
37380,37,경상북도,380,성주군
37390,37,경상북도,390,칠곡군
37400,37,경상북도,400,예천군
37410,37,경상북도,410,봉화군
37420,37,경상북도,420,울진군
37430,37,경상북도,430,울릉군
38000,38,경상남도,00,전체
38030,38,경상남도,30,진주시
38050,38,경상남도,50,통영시
38060,38,경상남도,60,사천시
38070,38,경상남도,70,김해시
38080,38,경상남도,80,밀양시
38090,38,경상남도,90,거제시
38100,38,경상남도,100,양산시
38110,38,경상남도,110,창원시
38310,38,경상남도,310,의령군
38320,38,경상남도,320,함안군
38330,38,경상남도,330,창녕군
38340,38,경상남도,340,고성군
38350,38,경상남도,350,남해군
38360,38,경상남도,360,하동군
38370,38,경상남도,370,산청군
38380,38,경상남도,380,함양군
38390,38,경상남도,390,거창군
38400,38,경상남도,400,합천군
39000,39,제주특별자치도,00,전체
39010,39,제주특별자치도,10,제주시
39020,39,제주특별자치도,20,서귀포시
